18.0	41.6	36	3	4	0	0	0	0	0	1	0	0	
18.0	42.0	15	0	0	0	0	0	0	0	0	0	0	
18.0	42.2	74	5	3	0	0	0	0	0	0	0	0	
18.0	42.4	43	12	1	1	0	0	0	0	0	0	0	
18.0	42.6	153	15	7	1	0	0	0	0	0	1	1	
18.0	42.8	175	24	3	4	2	0	0	0	1	3	0	
18.0	43.0	176	30	8	3	0	0	0	0	0	3	0	
18.0	43.2	27	5	1	1	0	0	0	0	0	1	0	
18.0	43.4	29	5	3	0	0	0	0	0	0	0	0	
18.0	43.8	2	2	0	0	0	0	0	0	0	0	0	
18.0	47.8	1	0	0	0	0	0	0	0	0	0	0	
18.1	41.4	15	3	0	0	0	0	0	0	0	0	0	
18.1	41.6	17	1	1	0	0	0	0	0	0	0	0	
18.1	41.8	15	3	1	0	0	0	0	0	0	0	0	
18.1	42.0	23	1	2	0	0	0	0	0	0	1	0	
18.1	42.2	95	12	3	0	0	0	0	0	0	0	0	
18.1	42.4	249	67	2	7	0	0	0	0	1	7	0	
18.1	42.6	267	42	20	3	1	0	0	0	0	0	1	
18.1	42.8	649	81	22	12	4	0	0	0	0	3	1	
18.1	43.0	52	3	3	0	0	0	0	0	0	0	0	
18.1	43.4	4	1	1	0	0	0	0	0	0	0	0	
18.1	44.0	5	1	0	0	0	0	0	0	0	0	0	
18.1	44.4	5	3	0	0	0	0	0	0	0	0	0	
18.2	41.4	48	5	4	3	0	0	0	0	0	1	0	
18.2	41.8	47	2	1	0	0	0	0	0	0	0	0	
18.2	42.0	51	0	2	0	0	0	0	0	0	0	0	
18.2	42.2	235	20	15	4	3	0	0	0	4	11	0	
18.2	42.4	2546	449	116	55	18	1	2	0	21	69	13	
18.2	42.6	2417	437	114	55	16	1	0	0	23	40	9	
18.2	42.8	704	107	33	11	2	0	0	0	0	5	3	
18.2	43.2	3	1	0	0	0	0	0	0	0	0	0	
18.2	43.8	5	5	0	0	0	0	0	0	0	0	0	
18.2	44.0	5	2	0	0	0	0	0	0	0	0	0	
18.2	44.2	5	1	0	0	0	0	0	0	0	0	0	
18.3	41.4	16	1	0	0	0	0	0	0	1	0	0	
18.3	41.6	24	1	0	0	0	0	0	0	0	0	0	
18.3	41.8	253	19	8	2	2	0	0	0	0	0	0	
18.3	42.0	89	4	2	0	0	0	0	0	0	0	0	
18.3	42.2	111	14	0	2	0	0	0	0	0	2	0	
18.3	42.4	119	24	6	2	1	0	0	0	0	5	0	
18.3	42.6	1942	343	97	37	5	1	1	0	6	12	3	
18.3	42.8	168	22	13	4	0	0	0	0	2	1	1	
18.3	43.2	17	2	0	0	0	0	0	0	0	0	0	
18.3	44.6	12	3	0	0	0	0	0	0	0	0	0	
18.4	41.4	39	9	0	1	0	0	0	0	0	1	0	
18.4	41.6	29	0	0	0	0	0	0	0	0	0	0	
18.4	41.8	52	2	0	0	0	0	0	0	0	0	0	
18.4	42.0	82	2	2	0	0	0	0	0	0	1	0	
18.4	42.2	16	0	0	0	0	0	0	0	0	0	0	
18.4	42.4	48	11	1	1	0	0	0	0	0	1	0	
18.4	42.6	59	4	3	1	0	0	0	0	0	0	1	
18.4	42.8	11	0	1	0	0	0	0	0	0	0	0	
18.4	43.0	15	2	2	0	0	0	0	0	0	0	0	
18.4	43.2	16	3	0	0	0	0	0	0	0	0	0	
18.4	44.0	4	0	0	0	0	0	0	0	0	0	0	
18.4	44.2	10	1	0	0	0	0	0	0	0	0	0	
18.4	44.6	8	2	0	0	0	0	0	0	0	0	0	
18.5	41.6	18	0	0	0	0	0	0	0	0	0	0	
18.5	41.8	58	5	0	0	0	0	0	0	0	0	0	
18.5	42.0	671	66	29	10	2	0	0	0	0	4	1	
18.5	42.2	21	4	1	0	0	0	0	0	0	0	0	
18.5	42.4	21	2	2	0	0	0	0	0	0	0	0	
18.5	42.6	88	10	3	0	0	0	0	0	0	0	0	
18.5	42.8	17	3	1	0	0	0	0	0	0	0	0	
18.5	43.0	46	7	2	0	0	0	0	0	0	0	0	
18.5	43.2	63	12	6	1	0	0	0	0	0	0	0	
18.5	44.0	12	4	1	0	0	0	0	0	0	0	0	
18.5	44.2	41	10	1	0	1	0	0	0	0	0	0	
18.6	41.6	11	1	0	0	0	0	0	0	0	0	0	
18.6	41.8	22	0	0	0	0	0	0	0	0	0	0	
18.6	42.0	362	27	17	2	0	0	0	0	0	1	0	
18.6	42.2	49	9	0	0	0	0	0	0	0	0	0	
18.6	42.4	32	6	3	0	0	0	0	0	0	0	0	
18.6	42.6	55	6	2	0	0	0	0	0	0	0	0	
18.6	42.8	55	11	4	1	1	0	0	0	0	0	0	
18.6	43.0	11	3	0	0	0	0	0	0	0	0	0	
18.6	43.2	8	5	0	0	0	0	0	0	0	0	0	
18.6	43.6	12	1	0	0	0	0	0	0	0	0	0	
18.6	44.0	3	1	0	0	0	0	0	0	0	0	0	
18.7	41.4	28	1	0	0	0	0	0	0	0	0	0	
18.7	41.6	5	1	2	0	0	0	0	0	0	0	0	
18.7	41.8	92	5	0	1	0	0	0	0	0	0	0	
18.7	42.0	92	9	8	2	0	0	0	0	0	1	0	
18.7	42.2	58	11	1	2	0	0	0	0	1	2	0	
18.7	42.4	34	6	2	0	0	0	0	0	0	0	0	
