18.0	36.0	58621	13086	892	1198	5564	2501	637	4924	3437	104	11	5	2	651	598	844	1028	170	1002	292	526	2752	
18.0	41.0	20254	1272	96	56	425	127	33	881	673	25	0	2	1	150	29	99	113	69	105	21	65	287	
18.0	46.0	582	52	7	1	14	3	0	21	19	0	0	0	0	32	1	6	5	1	2	0	2	12	
23.0	36.0	17739	2583	156	566	1665	478	89	1015	867	31	2	0	1	107	75	160	147	61	162	44	99	581	
23.0	41.0	24568	1934	129	80	540	218	66	1124	828	33	0	2	0	114	57	119	109	60	112	29	73	398	
23.0	46.0	81072	20292	1299	1307	7590	5606	1190	8158	3525	139	18	12	9	1224	1056	2341	1545	199	1596	406	755	4124	
28.0	36.0	15233	6295	476	555	1672	1331	404	1273	693	44	9	1	8	317	261	442	480	88	485	122	302	1392	
28.0	41.0	6092	426	26	15	103	34	11	285	181	13	0	0	0	20	15	31	27	23	26	6	20	97	
28.0	46.0	33353	17081	2029	2445	7096	5469	1633	5765	1851	79	26	9	8	1342	1963	2576	1710	107	3140	947	1301	5579	
