18.0	36.0	1403265	85414	1637	7870	19250	11039	1310	9508	5216	630	14	7	9	1034	1241	1486	1873	356	1896	398	847	6646	
18.0	41.0	498869	4978	125	127	816	215	62	1449	1422	48	0	2	1	272	39	125	281	102	133	22	194	483	
18.0	46.0	11912	91	7	1	26	3	0	31	26	0	0	0	0	46	3	6	6	1	3	0	3	17	
23.0	36.0	403097	9452	227	4695	5569	946	125	1640	1465	59	27	0	2	154	121	235	179	96	244	51	122	1026	
23.0	41.0	605855	6206	167	129	1274	619	106	1857	1281	93	0	2	0	182	77	153	213	85	166	32	137	874	
23.0	46.0	1868424	117881	2187	4485	18792	15938	1789	15035	5740	597	41	18	128	1810	2883	4058	2481	501	3587	633	1165	9621	
28.0	36.0	367839	46202	1363	3271	4243	6884	1356	2272	1484	231	34	1	22	725	395	596	793	320	794	144	409	3895	
28.0	41.0	159099	1611	42	43	153	69	12	473	272	29	0	0	0	29	21	56	129	33	46	6	28	221	
28.0	46.0	1143814	189103	3980	5731	25555	15511	2655	14558	2899	253	73	21	80	2217	5768	5300	3244	236	9372	1502	2312	17166	
